sickCd,sickNm,sickEngNm
T704,고압액체의 영향,Effects of high-pressure fluids
T708,기압 및 수압의 기타 영향,Other effects of air pressure and water pressure
T709,기압 및 수압의 상세불명의 영향,"Effect of air pressure and water pressure, unspecified"
T71,질식,Asphyxiation
T73,기타 박탈의 영향,Effects of other deprivation
T730,배고픔의 영향,Effects of hunger
T731,갈증의 영향,Effects of thirst
T732,노출에 의한 탈진,Exhaustion due to exposure
T733,과로에 의한 탈진,Exhaustion due to excessive exertion
T738,박탈의 기타 영향,Other effects of deprivation
T739,박탈의 상세불명의 영향,"Effect of deprivation, unspecified"
T74,학대증후군,Maltreatment syndromes
T740,무시 또는 포기,Neglect or abandonment
T741,육체적 학대,Physical abuse
T742,성적 학대,Sexual abuse
T743,심리적 학대,Psychological abuse
T748,기타 학대증후군,Other maltreatment syndromes
T749,상세불명의 학대증후군,"Maltreatment syndrome, unspecified"
T75,기타 외인의 영향,Effects of other external causes
T750,벼락의 영향,Effects of lightning
T751,익사 및 비치명적 익수,Drowning and nonfatal submersion
T752,진동의 영향,Effects of vibration
T753,멀미,Motion sickness
T754,감전의 영향,Effects of electric current
T758,기타 외부원인의 기타 명시된 영향,Other specified effects of other external causes
T76,외부원인의 상세불명의 영향,Unspecified effects of external causes
T78,달리 분류되지 않은 유해작용,"Adverse effects, NEC"
T780,음식의 유해작용으로 인한 아나필락시스쇼크,Anaphylactic shock due to adverse food reaction
T781,달리 분류되지 않은 기타 음식물의 유해작용,"Other adverse food reactions, NEC"
T782,상세불명의 아나필락시스쇼크,"Anaphylactic-shock, unspecified"
T783,혈관신경성 부종,Angioneurotic oedema
T784,상세불명의 알레르기,"Allergy, unspecified"
T788,달리 분류되지 않은 기타 유해작용,"Other adverse effects, NEC"
T789,상세불명의 유해작용,"Adverse effect, unspecified"
T79,달리 분류되지 않은 외상의 특정 조기합병증,"Certain early complications of trauma, NEC"
T790,공기색전증(외상성),Air embolism (traumatic)
T791,지방색전증(외상성),Fat embolism (traumatic)
T792,외상에 의한 이차적 및 재발성 출혈,Traumatic secondary and recurrent haemorrhage
T793,달리 분류되지 않은 외상후 상처감염,"Post-traumatic wound infection, NEC"
T794,외상성 쇼크,Traumatic shock
T795,외상성 무뇨증,Traumatic anuria
T796,외상성 근육허혈,Traumatic ischaemia of muscle
T797,외상성 피하기종,Traumatic subcutaneous emphysema
T798,외상의 기타 조기합병증,Other early complications of trauma
T799,외상의 상세불명 조기합병증,Unspecified early complication of trauma
T80,"주입, 수혈 및 치료용 주사에 따른 합병증","Complications following infusion, transfusion and therapeutic injection"
T800,"주입, 수혈 및 치료용 주사에 따른 공기색전증","Air embolism following infusion, transfusion and therapeutic injection"
T801,"주입, 수혈 및 치료용 주사에 따른 혈관합병증","Vascular complications following infusion, transfusion and therapeutic injection"
T802,"주입, 수혈 및 치료용 주사에 따른 감염","Infections following infusion, transfusion and therapeutic injection"
T803,ABO부적합반응,ABO incompatibility reaction
T804,Rh부적합반응,Rh incompatibility reaction
T805,혈청에 의한 아나필락시스쇼크,Anaphylactic shock due to serum
T806,기타 혈청반응,Other serum reactions
T808,"주입, 수혈 및 치료용 주사에 따른 기타 합병증","Other complications following infusion, transfusion and therapeutic injection"
T809,"주입, 수혈 및 치료용 주사에 따른 상세불명의 합병증","Unspecified complication following infusion, transfusion and therapeutic injection"
T81,달리 분류되지 않은 처치의 합병증,"Complications of procedures, NEC"
T810,달리 분류되지 않은 처치에 합병된 출혈 및 혈종,"Haemorrhage and haematoma complicating a procedure, NEC"
T811,달리 분류되지 않은 처치중 또는 처치에 의한 쇼크,"Shock during or resulting from a procedure, NEC"
T812,달리 분류되지 않은 처치중의 우발적 천자 또는 열상,"Accidental puncture and laceration during a procedure, NEC"
T813,달리 분류되지 않은 수술상처의 파열,"Disruption of operation wound, NEC"
T814,달리 분류되지 않은 처치에 따른 감염,"Infection following a procedure, NEC"
T815,처치후 체강 또는 수술상처에 우발적으로 남겨진 이물,Foreign body accidentally left in body cavity or operation wound following a procedure
T816,처치중 우발적으로 남겨진 이물에 대한 급성 반응,Acute reaction to foreign substance accidentally left during a procedure
T817,달리 분류되지 않은 처치후 혈관합병증,"Vascular complications following a procedure, NEC"
T818,달리 분류되지 않은 처치의 기타 합병증,"Other complications of procedures, NEC"
T819,처치의 상세불명 합병증,Unspecified complications of procedure
T82,"심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증","Complications of cardiac and vascular prosthetic devices, implants and grafts"
T820,인공심장판막의 기계적 합병증,Mechanical complication of heart valve prosthesis
T821,심장전자장치의 기계적 합병증,Mechanical complication of cardiac electronic device
T822,관상동맥우회로 및 판막이식편의 기계적 합병증,Mechanical complication of coronary artery bypass and valve grafts
T823,기타 혈관이식편의 기계적 합병증,Mechanical complication of other vascular grafts
T824,혈관투석카테터의 기계적 합병증,Mechanical complication of vascular dialysis catheter
T825,기타 심장 및 혈관 장치 및 삽입기구의 기계적 합병증,Mechanical complication of other cardiac and vascular devices and implants
T826,인공심장판막에 의한 감염 및 염증반응,Infection and inflammatory reaction due to cardiac valve prosthesis
T827,"기타 심장 및 혈관 장치, 삽입물 및 이식편에 의한 감염 및 염증반응","Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
T828,"심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 기타 명시된 합병증","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts"
T829,"심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 상세불명의 합병증","Unspecified complication of cardiac and vascular prosthetic devices, implant and grafts"
T83,"비뇨생식기 인공삽입장치, 삽입물 및 이식편의 합병증","Complications of genitourinary prosthetic devices, implants and grafts"
T830,요도(유치)카테터의 기계적 합병증,Mechanical complication of urinary (indwelling) catheter
T831,기타 요로장치 및 삽입물의 기계적 합병증,Mechanical complication of other urinary devices and implants
T832,비뇨기관의 이식물의 기계적 합병증,Mechanical complication of graft of urinary organ
T833,자궁내피임장치의 기계적 합병증,Mechanical complication of intrauterine contraceptive device
T834,"생식관의 기타 인공삽입장치, 삽입물 및 이식편의 기계적 합병증","Mechanical complication of other prosthetic devices, implants and grafts in genital tract"
T835,"비뇨기계통의 인공삽입장치, 삽입물 및 이식편에 의한 감염 및 염증성 반응","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
T836,"생식관 인공삽입장치, 삽입물 및 이식편에 의한 감염 및 염증성 반응","Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract"
T838,"비뇨생식기 인공삽입장치, 삽입물 및 이식편의 기타 합병증","Other complications of genitourinary prosthetic devices, implants and grafts"
T839,"비뇨생식기 인공삽입장치, 삽입물 및 이식편의 상세불명 합병증","Unspecified complication of genitourinary prosthetic device, implant and graft"
T84,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증","Complications of internal orthopaedic prosthetic devices, implants and grafts"
T840,내부인공관절의 기계적 합병증,Mechanical complication of internal joint prosthesis
T841,사지의 뼈의 내부고정장치의 기계적 합병증,Mechanical complication of internal fixation device of bones of limb
T842,기타 뼈의 내부고정장치의 기계적 합병증,Mechanical complication of internal fixation device of other bones
T843,"기타 뼈의 장치, 삽입물 및 이식편의 기계적 합병증","Mechanical complication of other bone devices, implants and grafts"
T844,"기타 내부 정형외과적 장치, 삽입물 및 이식편의 기계적 합병증","Mechanical complication of other internal orthopaedic devices, implants and grafts"
T845,내부인공관절에 의한 감염 및 염증반응,Infection and inflammatory reaction due to internal joint prosthesis
T846,내부고정장치[모든 부위]에 의한 감염 및 염증반응,Infection and inflammatory reaction due to internal fixation device [any site]
T847,"기타 내부 정형외과적 인공삽입장치, 삽입물 및 이식편에 의한 감염 및 염증반응","Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts"
T848,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 기타 합병증","Other complications of internal orthopaedic prosthetic devices, implants and grafts"
T849,"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 상세불명 합병증","Unspecified complication of internal orthopaedic prosthetic devices, implants and grafts"
T85,"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증","Complications of other internal prosthetic devices, implants and grafts"
T850,두개내 (교통성) 뇌실션트의 기계적 합병증,Mechanical complication of ventricular intracranial (communicating) shunt
T851,삽입된 신경계통 전자자극기의 기계적합병증,Mechanical complication of implanted electronic stimulator of nervous system
T852,안구내렌즈(인공수정체)의 기계적 합병증,Mechanical complication of intraocular lens
T853,"기타 안구 인공장치, 삽입물 및 이식편의 기계적 합병증","Mechanical complication of other ocular prosthetic devices, implants and grafts"
T854,유방 보형물 및 삽입물의 기계적 합병증,Mechanical complication of breast prosthesis and implant
T855,"위장의 인공삽입장치, 삽입물 및 이식편의 기계적 합병증","Mechanical complication of gastrointestinal prosthetic devices, implants and grafts"
T856,"기타 명시된 내부 인공삽입장치, 삽입물 및 이식편의 기계적 합병증","Mechanical complication of other specified internal prosthetic devices, implants and grafts"
T857,"기타 내부 인공삽입장치, 삽입물 및 이식편에 의한 감염 및 염증반응","Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts"
T858,"달리 분류되지 않은 내부 인공삽입장치, 삽입물 및 이식편의 기타 합병증","Other complications of internal prosthetic devices, implants and grafts, NEC"
T859,"내부 인공삽입장치, 삽입물 및 이식편의 상세불명 합병증","Unspecified complication of internal prosthetic device, implant and graft"
T86,이식된 기관 및 조직의 실패 및 거부,Failure and rejection of transplanted organs and tissues
T860,골수이식거부,Bone-marrow transplant rejection
T861,신장이식 실패 및 거부,Kidney transplant failure and rejection
T862,심장이식 실패 및 거부,Heart transplant failure and rejection
T863,심장-폐이식 실패 및 거부,Heart-lung transplant failure and rejection
T864,간이식 실패 및 거부,Liver transplant failure and rejection
T868,기타 이식된 기관 및 조직의 실패 및 거부,Failure and rejection of other transplanted organs and tissues
T869,상세불명의 이식된 기관 및 조직의 실패 및 거부,Failure and rejection of unspecified transplanted organ and tissue
T87,재부착 및 절단에 특이한 합병증,Complications peculiar to reattachment and amputation
T870,재부착된 상지(의 부분)의 합병증,Complications of reattached (part of) upper extremity
T871,재부착된 하지(의 부분)의 합병증,Complications of reattached (part of) lower extremity
T872,기타 재부착된 신체부분의 합병증,Complications of other reattached body part
T873,절단잘린끝의 신경종,Neuroma of amputation stump
T874,절단잘린끝의 감염,Infection of amputation stump
T875,절단잘린끝의 괴사,Necrosis of amputation stump
T876,절단잘린끝의 기타 및 상세불명의 합병증,Other and unspecified complications of amputation stump
T88,달리 분류되지 않은 외과적 및 내과적 치료의 기타 합병증,"Other complications of surgical and medical care, NEC"
T880,예방접종에 따른 감염,Infection following immunization
T881,달리 분류되지 않은 예방접종에 따른 기타 합병증,"Other complications following immunization, NEC"
T882,마취에 의한 쇼크,Shock due to anaesthesia
T883,마취에 의한 악성 고체온,Malignant hyperthermia due to anaesthesia
T884,실패한 삽관 또는 삽관곤란,Failed or difficult intubation
T885,마취의 기타 합병증,Other complications of anaesthesia
T886,적절히 투여된 올바른 약물 또는 약제의 유해작용에 의한 아나필락시스쇼크,Anaphylactic shock due to adverse effect of correct drug or medicament properly administered
T887,약물 또는 약제의 상세불명의 유해작용,Unspecified adverse effect of drug or medicament
T888,달리 분류되지 않은 외과적 및 내과적 치료의 기타 명시된 합병증,"Other specified complications of surgical and medical care, NEC"
T889,상세불명의 외과적 및 내과적 치료의 합병증,"Complication of surgical and medical care, unspecified"
T90,머리손상의 후유증,Sequelae of injuries of head
T900,머리의 표재성 손상의 후유증,Sequelae of superficial injury of head
T901,머리의 열린상처의 후유증,Sequelae of open wound of head
T902,두개골 및 안면골 골절의 후유증,Sequelae of fracture of skull and facial bones
T903,뇌신경손상의 후유증,Sequelae of injury of cranial nerves
T904,눈 및 안와 손상의 후유증,Sequelae of injury of eye and orbit
T905,두개내손상의 후유증,Sequelae of intracranial injury
T908,머리의 기타 명시된 손상의 후유증,Sequelae of other specified injuries of head
T909,머리의 상세불명 손상의 후유증,Sequelae of unspecified injury of head
T91,목 및 몸통 손상의 후유증,Sequelae of injuries of neck and trunk
T910,목 및 몸통의 표재성 손상 및 열린상처의 후유증,Sequelae of superficial injury and open wound of neck and trunk
T911,척추골절의 후유증,Sequelae of fracture of spine
T912,흉부 및 골반의 기타 골절의 후유증,Sequelae of other fracture of thorax and pelvis
T913,척수손상의 후유증,Sequelae of injury of spinal cord
T914,흉곽내기관 손상의 후유증,Sequelae of injury of intrathoracic organs
T915,복강내 및 골반 기관 손상의 후유증,Sequelae of injury of intra-abdominal and pelvic organs
T918,목 및 몸통의 기타 명시된 손상의 후유증,Sequelae of other specified injuries of neck and trunk
T919,목 및 몸통의 상세불명 손상의 후유증,Sequelae of unspecified injury of neck and trunk
T92,팔손상의 후유증,Sequelae of injuries of upper limb
T920,팔의 열린상처의 후유증,Sequelae of open wound of upper limb
T921,팔골절의 후유증,Sequelae of fracture of arm
T922,손목 및 손 부위 골절의 후유증,Sequelae of fracture at wrist and hand level
T923,"팔의 탈구, 염좌 및 긴장의 후유증","Sequelae of dislocation, sprain and strain of upper limb"
T924,팔의 신경손상의 후유증,Sequelae of injury of nerve of upper limb
T925,팔의 근육 및 힘줄 손상의 후유증,Sequelae of injury of muscle and tendon of upper limb
T926,팔의 으깸손상 및 외상성 절단의 후유증,Sequelae of crushing injury and traumatic amputation of upper limb
T928,팔의 기타 명시된 손상의 후유증,Sequelae of other specified injuries of upper limb
T929,팔의 상세불명 손상의 후유증,Sequelae of unspecified injury of upper limb
T93,다리손상의 후유증,Sequelae of injuries of lower limb
T930,다리의 열린상처의 후유증,Sequelae of open wound of lower limb
T931,대퇴골골절의 후유증,Sequelae of fracture of femur
T932,다리의 기타 골절의 후유증,Sequelae of other fractures of lower limb
T933,"다리의 탈구, 염좌 및 긴장의 후유증","Sequelae of dislocation, sprain and strain of lower limb"
T934,다리의 신경손상의 후유증,Sequelae of injury of nerve of lower limb
T935,다리의 근육 및 힘줄 손상의 후유증,Sequelae of injury of muscle and tendon of lower limb
T936,다리의 으깸손상 및 외상성 절단의 후유증,Sequelae of crushing injury and traumatic amputation of lower limb
T938,다리의 기타 명시된 손상의 후유증,Sequelae of other specified injuries of lower limb
T939,다리의 상세불명 손상의 후유증,Sequelae of unspecified injury of lower limb
T94,다발성 및 상세불명의 신체부위를 침범한 손상의 후유증,Sequelae of injuries involving multiple and unspecified body regions
T940,여러 신체부위를 침범한 손상의 후유증,Sequelae of injuries involving multiple body regions
T941,명시되지 않은 신체부위 손상의 후유증,"Sequelae of injuries, not specified by body region"
T95,"화상, 부식 및 동상의 후유증","Sequelae of burns, corrosions and frostbite"
T950,"머리 및 목의 화상, 부식 및 동상의 후유증","Sequelae of burn, corrosion and frostbite of head and neck"
T951,"몸통의 화상, 부식 및 동상의 후유증","Sequelae of burn, corrosion and frostbite of trunk"
T952,"팔의 화상, 부식 및 동상의 후유증","Sequelae of burn, corrosion and frostbite of upper limb"
T953,"다리의 화상, 부식 및 동상의 후유증","Sequelae of burn, corrosion and frostbite of lower limb"
T954,침범된 신체표면의 정도에 따라서만 분류가능한 화상 및 부식의 후유증,Sequelae of burn and corrosion classifiable only according to extent of body surface involved
T958,"기타 명시된 화상, 부식 및 동상의 후유증","Sequelae of other specified burn, corrosion and frostbite"
T959,"상세불명의 화상, 부식 및 동상의 후유증","Sequelae of unspecified burn, corrosion and frostbite"
T96,"약물, 약제 및 생물학적 물질에 의한 중독의 후유증","Sequelae of poisoning by drugs, medicaments and biological substances"
T97,출처가 주로 비의약품인 물질의 독성효과의 후유증,Sequelae of toxic effects of substances chiefly nonmedicinal as to source
T98,외인의 기타 및 상세불명 영향의 후유증,Sequelae of other and unspecified effects of external causes
T980,개구를 통해 들어간 이물의 후유증,Sequelae of effects of foreign body entering through natural orifice
T981,외인의 기타 및 상세불명 영향의 후유증,Sequelae of other and unspecified effects of external causes
T982,외상의 특정 조기합병증의 후유증,Sequelae of certain early complications of trauma
T983,달리 분류되지 않은 외과적 및 내과적 치료의 합병증의 후유증,"Sequelae of complications of surgical and medical care, NEC"
U04,중증급성호흡증후군[SARS],Severe acute respiratory syndrome[SARS]
U049,상세불명의 중증급성호흡증후군[SARS],"Severe acute respiratory syndrome [SARS], unspecified"
U06,U06의 응급사용,Emergency use of U06
U060,U06.0의 응급사용,Emergency use of U06.0
U061,U06.1의 응급사용,Emergency use of U06.1
U062,U06.2의 응급사용,Emergency use of U06.2
U063,U06.3의 응급사용,Emergency use of U06.3
U064,U06.4의 응급사용,Emergency use of U06.4
U065,U06.5의 응급사용,Emergency use of U06.5
U066,U06.6의 응급사용,Emergency use of U06.6
U067,U06.7의 응급사용,Emergency use of U06.7
U068,U06.8의 응급사용,Emergency use of U06.8
U069,상세불명의 지카바이러스감염증,"Zika virus disease, unspecified"
U07,U07의 응급사용,Emergency use of U07
U070,전자담배관련 장애,Vaping-related disorder
U071,바이러스가 확인된 코로나19,"COVID-19, virus identified"
U072,바이러스가 확인되지 않은 코로나19,"COVID-19, virus not identified"
U073,U07.3의 응급사용,Emergency use of U07.3
U074,U07.4의 응급사용,Emergency use of U07.4
U075,U07.5의 응급사용,Emergency use of U07.5
U076,U07.6의 응급사용,Emergency use of U07.6
U077,U07.7의 응급사용,Emergency use of U07.7
U078,U07.8의 응급사용,Emergency use of U07.8
U079,U07.9의 응급사용,Emergency use of U07.9
U08,코로나19의 개인력,Personal history of COVID-19
U089,상세불명의 코로나19의 개인력,"Personal history of COVID-19, unspecified"
U09,코로나19 이후 병태,Post COVID-19 condition
U099,상세불명의 코로나19 이후 병태,"Post COVID-19 condition, unspecified"
U10,코로나19와 관련된 다발계통염증성증후군,Multisystem inflammatory syndrome associated with COVID-19
U109,상세불명의 코로나19와 관련된 다발계통염증성증후군,"Multisystem inflammatory syndrome associated with COVID-19, unspecified"
U11,코로나19에 대한 예방접종의 필요,Need for immunization against COVID-19
U119,상세불명의 코로나19에 대한 예방접종의 필요,"Need for immunization against COVID-19, unspecified"
U12,치료용으로 사용시 유해작용을 나타내는 코로나19 백신,COVID-19 vaccines causing adverse effects in therapeutic use
U129,치료용으로 사용시 유해작용을 나타내는 상세불명의 코로나19 백신,"COVID-19 vaccines causing adverse effects in therapeutic use, unspecified"
U18,신종질환의 국내 임시적 지정이나 응급사용,Provisional assignment of new diseases or emergency use at a national level
U180,중동호흡기증후군 [MERS],Middle east respiratory syndrome [MERS]
U181,신종 코로나바이러스 감염,Novel coronavirus infection
U19,중동호흡기증후군 [MERS],Middle east respiratory syndrome [MERS]
U199,상세불명의 중동호흡기증후군 [MERS],"Middle east respiratory syndrome [MERS], Unspecifed"
U80,페니실린 및 연관된 항생제에 내성이 있는 감염체,Agent resistant to penicillin and related antibiotics
U800,페니실린내성 감염체,Penicillin resistant agent
U801,메티실린내성 감염체,Methicillin resistant agent
U808,기타 페니실린-연관된 항생제내성 감염체,Agent resistant to other penicillin-related antibiotic
U81,밴코마이신 및 연관된 항생제내성 감염체,Agent resistant to vancomycin and related antibiotics
U810,밴코마이신내성 감염체,Vancomycin resistant agent
U818,기타 밴코마이신-연관된 항생제내성 감염체,Agent resistant to other vancomycin-related antibiotic
U82,베타락탐항생제 내성,Resistance to betalactam antibiotics
U820,페니실린 내성,Resistance to penicillin
U821,메티실린 내성,Resistance to methicillin
U822,광범위 베타락탐계내성,Extended spectrum betalactamase(ESBL) resistance
U828,기타 베타락탐항생제 내성,Resistance to other betalactam antibiotics
U829,상세불명의 베타락탐항생제 내성,"Resistance to betalactam antibiotics, unspecified"
U83,기타 항생제 내성,Resistance to other antibiotics
U830,반코마이신 내성,Resistance to vancomycin
U831,기타 반코마이신과 관련된 항생제 내성,Resistance to other vancomycin related antibiotics
U832,퀴놀론계 내성,Resistance to quinolones
U837,여러 항생제 내성,Resistance to multiple antibiotics
U838,기타 단일 특정 항생제 내성,Resistance to other single specified antibiotic
U839,상세불명의 항생제 내성,Resistance to unspecified antibiotic
U84,기타 항균제 내성,Resistance to other antimicrobial drugs
U840,항기생충제 내성,Resistance to antiparasitic drug(s)
U841,항진균제 내성,Resistance to antifungal drug(s)
U842,항바이러스제 내성,Resistance to antiviral drug(s)
U843,항결핵제 내성,Resistance to tuberculostatic drug(s)
U847,여러 항균제 내성,Resistance to multiple antimicrobial drugs
U848,기타 명시된 항균제 내성,Resistance to other specified antimicrobial drug
U849,상세불명의 항균제 내성,Resistance to unspecified antimicrobial drugs
U85,항암제 내성,Resistance to antineoplastic drugs
U88,여러 항생제에 내성을 보이는 감염체,Agent resistant to multiple antibiotics
U880,다약제내성 결핵,Multi-Drug resistant tuberculosis
U881,광범위약제내성 결핵,Extensively drug-resistant Tuberculosis : XDR TB
U888,기타의 여러 항생제에 내성이 있는 감염체,Agent resistant to other multiple antibiotics
U889,상세불명의 여러 항생제에 내성이 있는 감염체,Agent resistant to unspecified multiple antibiotics
U89,기타 및 상세불명의 항생제내성 감염체,Agent resistant to other and unspecified antibiotics
U898,기타 단일 특정 항생제내성  감염체,Agent resistant to other other single specified antibiotic
U899,상세불명 항생제내성 감염체,Agent resistant to unspecified antibiotic
U99,재발한 악성 신생물,Recurrent malignant neoplasm
V000,국민건강보험법 시행령 제19조 제1항 별표2 제3호 가목3)에 따라 본인부담 제외 대상이 되는 결핵환자,
V001,인공신장투석시,
V003,계속적 복막관류술시,
V005,신이식술후 조직이식 거부반응 억제제 투여시,
V006,고엽제후유 의증 질환자,
V007,고셔질환자의 효소대치법 약제투여시,
V008,등록암환자를 제외한 환자가 가정간호를 받은경우,
V009,혈우병 환자가 항응고인자? 동결침전제제 등의 약제 및 기타 혈우병치료를 받은 당일 외래진료 또는 해당 치료 관련 입원진료,
V01,자전거와 충돌로 다친 보행자,Pedestrian injured in collision with pedal cycle
V010,비교통사고에서 자전거와 충돌로 다친 보행자,Pedestrian injured in collision with pedal cycle in nontraffic accident
V011,교통사고에서 자전거와 충돌로 다친 보행자,Pedestrian injured in collision with pedal cycle in traffic accident
V012,"중증근무력증 및 기타 근신경장애(G70), 근육의 원발성 장애(G71) 환자가 해당 상병 관련 진료를 받은 당일 외래진료 또는 입원진료",
V013,간이식술후 조직이식 거부반응억제제 또는 간염예방치료제 투여를 투여 받은 당일의 외래진료,
V014,췌장이식술후 조직이식 거부반응억제제를 투여받은 당일의 외래진료,
V015,심장이식술후 조직이식 거부반응억제제를 투여받은 당일의 외래진료,
V019,교통사고인지 비교통사고인지 상세불명에서 자전거와 충돌로 다친 보행자,Pedestrian injured in collision with pedal cycle in unspecified whether traffic or nontraffic accident
V02,이륜 또는 삼륜자동차와 충돌로 다친 보행자,Pedestrian injured in collision with two- or three-wheeled motor vehicle
V020,비교통사고에서 이륜 또는 삼륜자동차와 충돌로 다친 보행자,Pedestrian injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V021,교통사고에서 이륜 또는 삼륜자동차와 충돌로 다친 보행자,Pedestrian injured in collision with two- or three-wheeled motor vehicle in traffic accident
V022,다발성경화증(G35) 환자가 해당 상병으로 진료를 받은 당일 외래진료 또는 입원진료,
V023,"후천성 순수적혈구무형성[적모구감소](D60), 기타 무형성빈혈(D61)환자가 해당 상병 관련 진료를 받은 당일 외래진료 또는 입원진료",
V024,뮤코다당증 환자(E76)가 해당 상병으로 진료를 받은 당일의 외래진료,
V025,부신백질이영양증 환자(E71.3)가 해당 상병으로 진료를 받은 당일의 외래진료,
V026,백혈병환자(C90~C95)가 해당 상병으로 치료를 받은 당일의 외래진료,
V027,"암환자가 해당상병(C00~C97, D00~D09, D37~D48)으로 진료를 받은 당일",
V029,교통사고인지 비교통사고인지 상세불명에서 이륜 또는 삼륜자동차와 충돌로 다친 보행자,Pedestrian injured in collision with two- or three-wheeled motor vehicle in unspecified whether traffic or nontraffic accident
V03,"승용차, 픽업트럭 또는 밴과 충돌로 다친 보행자","Pedestrian injured in collision with car, pick-up truck or van"
V030,"비교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 보행자","Pedestrian injured in collision with car, pick-up truck or van in nontraffic accident"
V031,"교통사고에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 보행자","Pedestrian injured in collision with car, pick-up truck or van in traffic accident"
V039,"교통사고인지 비교통사고인지 상세불명에서 승용차, 픽업트럭 또는 밴과 충돌로 다친 보행자","Pedestrian injured in collision with car, pick-up truck or van in unspecified whether traffic or nontraffic accident"
V04,대형화물차 또는 버스와 충돌로 다친 보행자,Pedestrian injured in collision with heavy transport vehicle or bus
V040,비교통사고에서 대형화물차 또는 버스와 충돌로 다친 보행자,Pedestrian injured in collision with heavy transport vehicle or bus in nontraffic accident
V041,교통사고에서 대형화물차 또는 버스와 충돌로 다친 보행자,Pedestrian injured in collision with heavy transport vehicle or bus in traffic accident
V049,교통사고인지 비교통사고인지 상세불명에서 대형화물차 또는 버스와 충돌로 다친 보행자,Pedestrian injured in collision with heavy transport vehicle or bus in unspecified whether traffic or nontraffic accident
V05,열차 또는 철도차량과 충돌로 다친 보행자,Pedestrian injured in collision with railway train or railway vehicle
V050,비교통사고에서 열차 또는 철도차량과 충돌로 다친 보행자,Pedestrian injured in collision with railway train or railway vehicle in nontraffic accident
V051,교통사고에서 열차 또는 철도차량과 충돌로 다친 보행자,Pedestrian injured in collision with railway train or railway vehicle in traffic accident
V059,교통사고인지 비교통사고인지 상세불명에서 열차 또는 철도차량과 충돌로 다친 보행자,Pedestrian injured in collision with railway train or railway vehicle in unspecified whether traffic or nontraffic accident
V06,기타 무동력 차량과 충돌로 다친 보행자,Pedestrian injured in collision with other nonmotor vehicle
V060,비교통사고에서 기타 무동력 차량과 충돌로 다친 보행자,Pedestrian injured in collision with other nonmotor vehicle in nontraffic accident
V061,교통사고에서 기타 무동력 차량과 충돌로 다친 보행자,Pedestrian injured in collision with other nonmotor vehicle in traffic accident
V069,교통사고인지 비교통사고인지 상세불명에서 기타 무동력 차량과 충돌로 다친 보행자,Pedestrian injured in collision with other nonmotor vehicle in unspecified whether traffic or nontraffic accident
V073,조혈모세포공여자,
V074,신장 공여자,
V075,간공여자,
V076,췌장 공여자,
V077,심장 공여자,
V078,폐 공여자,
V081,제대혈조혈모세포 이식환자,
V082,자가조혈모세포 이식 환자,
V083,동종조혈모세포 이식 환자,
V084,신장 이식환자,
V085,간 이식환자,
V086,췌장 이식환자,
V087,심장 이식환자,
V088,폐 이식환자,
V09,기타 및 상세불명의 운수사고에서 다친 보행자,Pedestrian injured in other and unspecified transport accidents
V090,기타 및 상세불명의 자동차에 관여된 비교통사고에서 다친 보행자,Pedestrian injured in nontraffic accident involving other and unspecified motor vehicles
V091,상세불명의 비교통 사고에서 다친 보행자,Pedestrian injured in unspecified nontraffic accident
V092,기타 및 상세불명의 자동차에 관여된 교통사고에서 다친 보행자,Pedestrian injured in traffic accident involving other and unspecified motor vehicles
V093,상세불명의 교통사고에서 다친 보행자,Pedestrian injured in unspecified traffic accident
V099,상세불명의 운수사고에서 다친 보행자,Pedestrian injured in unspecified transport accident
V10,보행자 또는 동물과 충돌로 다친 자전거 탑승자,Pedal cyclist injured in collision with pedestrian or animal
V100,비교통사고에서 보행자 또는 동물과 충돌로 다친 자전거의 운전자,Driver of pedal cycle injured in collision with pedestrian or animal in nontraffic accident
V101,비교통사고에서 보행자 또는 동물과 충돌로 다친 자전거의 승객,Passenger of pedal cycle injured in collision with pedestrian or animal in nontraffic accident
V102,비교통사고에서 보행자 또는 동물과 충돌로 다친 상세불명의 자전거 탑승자,Unspecified pedal cyclist injured in collision with pedestrian or animal in nontraffic accident
V103,자전거의 승하차중 보행자 또는 동물과 충돌로 사람,Person injured in collision with pedestrian or animal while boarding or alighting on pedal cycle
V104,교통사고에서 보행자 또는 동물과 충돌로 다친 자전거의 운전자,Driver of pedal cycle injured in collision with pedestrian or animal in traffic accident
